epoch,train_accuracy,val_accuracy,train_loss
0,0.4892857074737549,0.6333333253860474,1.2218960523605347
1,0.7571428418159485,0.7666666507720947,0.9301310181617737
2,0.8321428298950195,0.8166666626930237,0.7402971386909485
3,0.8392857313156128,0.8333333134651184,0.6617441773414612
4,0.8821428418159485,0.8333333134651184,0.5272940993309021
5,0.8964285850524902,0.8500000238418579,0.4779612720012665
6,0.8928571343421936,0.8666666746139526,0.44940638542175293
7,0.8964285850524902,0.8333333134651184,0.387811541557312
8,0.9285714030265808,0.8333333134651184,0.3670685291290283
9,0.9035714268684387,0.8333333134651184,0.36521556973457336
